"uid","vin","ys_time_stamp","sourceSystem","validationFlag","latitude","longitude","angle","custom1","custom2","custom3","custom4","location1","location2","location3","location4","image"
"062283523_N6E29554","N6E29554","2022-06-23 15:20:00.000","Drone","1","18.719228007731754","73.80286974673116","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/f801d345-a8da-42f3-a1c7-16c428b9215d?auto=format,compress,enhance&w=400"
"062283523_N6E28086","N6E28086","2022-06-23 15:20:00.000","Drone","1","18.719277785509313","73.80288063562138","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/ea7f40ea-d855-48e9-b7cd-5f5b9efc11d5?auto=format,compress,enhance&w=400"
"062283523_N6E29608","N6E29608","2022-06-23 15:20:00.000","Drone","1","18.719277785509313","73.80288063562138","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/ea7f40ea-d855-48e9-b7cd-5f5b9efc11d5?auto=format,compress,enhance&w=400"
"062283523_N6E29502","N6E29502","2022-06-23 15:20:00.000","Drone","1","18.719277785509313","73.80288063562138","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/ea7f40ea-d855-48e9-b7cd-5f5b9efc11d5?auto=format,compress,enhance&w=400"
"062283523_N6E29508","N6E29508","2022-06-23 15:20:00.000","Drone","1","18.719327229953507","73.80289224673372","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/48acac69-cd8b-4aa5-b6b7-e8f841ba2220?auto=format,compress,enhance&w=400"
"062283523_N6E29558","N6E29558","2022-06-23 15:20:00.000","Drone","1","18.71936286249751","73.80290126248912","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/84f7423d-66e4-41fb-ab10-f4b2eaa38909?auto=format,compress,enhance&w=400"
"062283523_N6D48388","N6D48388","2022-06-23 15:20:00.000","Drone","1","18.719304890277584","73.80283173471172","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/74aba4e7-45be-43f9-85ef-cc8292cf3765?auto=format,compress,enhance&w=400"
"062283523_N6E27475","N6E27475","2022-06-23 15:20:00.000","Drone","1","18.719304890277584","73.80283173471172","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/74aba4e7-45be-43f9-85ef-cc8292cf3765?auto=format,compress,enhance&w=400"
"062283523_N6E29561","N6E29561","2022-06-23 15:20:00.000","Drone","1","18.719257007733404","73.80282046895647","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/1052494d-f02b-4e8b-b219-f103304d7865?auto=format,compress,enhance&w=400"
"062283523_N6E29556","N6E29556","2022-06-23 15:20:00.000","Drone","1","18.719257007733404","73.80282046895647","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/1052494d-f02b-4e8b-b219-f103304d7865?auto=format,compress,enhance&w=400"
